"Address","Content Type","Indexability","Status Code","Status","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","GA Sessions","GA % New Sessions","GA Users","GA New Users","GA Bounce Rate","GA Page Views Per Session","GA Avg Session Duration","GA Goal Conversion Rate All","GA Goal Completions All","GA Goal Value All","GA Page Value","Clicks","Impressions","CTR","Position","URL Encoded Address","Crawl Timestamp"
"https://bettersleep.com/","text/html","Non-Indexable","301","Moved Permanently","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.203","","https://www.bettersleep.com/","HTTP Redirect","","1.1","","","","","","","","","","","","","","","","https://bettersleep.com/","2022-04-28 09:55:45"
"https://www.bettersleep.com/","text/html","Indexable","200","OK","","BetterSleep | Sleep better. Feel Better.","40","336","Understand and improve your sleep with our sleep tracker, premium sounds and guided content curated just for you. Doesn’t that sound dreamy?","140","893","","0","Sleep better. Feel better.","26","","0","Improve your wellbeing in just one week.","40","The perfect soundscape","22","INDEX, FOLLOW","","","https://www.bettersleep.com/","","","","","","709609","580","0.549","1","","996","487","0","46.250","73","28","0","13","12","0","","","","","61cc6e6dcb7e5abc635bc20fcab790ec","0.255","Thu, 28 Apr 2022 12:50:56 GMT","","","","1.1","","","","","","","","","","","","3220","82888","0.039","30.070","https://www.bettersleep.com/","2022-04-28 09:55:46"
"https://www.bettersleep.com/gift/","text/html","Non-Indexable","200","OK","noindex","BetterSleep Gift","16","139","BetterSleep gift page","21","131","","0","","0","","0","","0","","0","NOINDEX","","","https://www.bettersleep.com/gift/","","","","","","350391","143","0.332","2","","468","467","0","44.350","18","12","0","13","12","0","","","","","746c1b1b548c79b4f9b82dedb52849fb","0.413","Thu, 28 Apr 2022 12:50:53 GMT","","","","1.1","","","","","","","","","","","","","","","","https://www.bettersleep.com/gift/","2022-04-28 09:55:46"
"https://www.bettersleep.com/ja/","text/html","Indexable","200","OK","","BetterSleep |より良い睡眠。より良い気分。","27","398","私たちの睡眠トラッカー、プレミアムサウンド、あなただけのために厳選されたガイド付きコンテンツであなたの睡眠を理解し、改善してください。夢のような話ではありませんか？","82","1148","","0","より良い睡眠でより良い気分。","14","","0","これまでにないサウンドで夢の世界へ","17","あなただけのミックスを・・・","14","INDEX, FOLLOW","","","https://www.bettersleep.com/ja/","","","","","","702196","131","0.252","2","","25","8","0","0.760","44","12","0","13","12","0","","","","","29f0a8d5c5fe0cba26390b3548ca0aed","0.412","Thu, 28 Apr 2022 12:51:03 GMT","","","","1.1","","","","","","","","","","","","125","1755","0.071","25.000","https://www.bettersleep.com/ja/","2022-04-28 09:55:46"
"https://www.bettersleep.com/ru/","text/html","Indexable","200","OK","","BetterSleep | Спите лучше. Чувствуйте себя лучше.","49","472","Определяйте, от чего зависит качество вашего сна и улучшайте его с помощью регистрации показателей сна, премиум-звуков и голосового контента, настраивая их под свои потребности. Заманчиво, правда?","196","1363","","0","Спите лучше. Чувствуйте себя лучше.","35","","0","Засыпайте быстро и спите крепко","31","Создавайте собственные миксы...","31","INDEX, FOLLOW","","","https://www.bettersleep.com/ru/","","","","","","710668","384","0.432","2","","25","8","0","0.760","44","12","0","13","12","0","","","","","8472504cfba8fc66069860f293310eea","0.414","Thu, 28 Apr 2022 12:52:31 GMT","","","","1.1","","","","","","","","","","","","51","1188","0.043","19.520","https://www.bettersleep.com/ru/","2022-04-28 09:55:46"
"https://www.bettersleep.com/sleep-better/","text/html","Indexable","200","OK","","Sleep Better: The Definitive Guide to Restful Sleep | BetterSleep","65","563","A thorough guide on how to sleep better by improving 6 aspects of your daily life. From your nutrition and diet to your nighttime routine.","138","831","","0","Sleep Better with BetterSleep","29","","0","SleepMoves","10","Bedtime Stories","15","INDEX, FOLLOW","","","https://www.bettersleep.com/sleep-better/","","","","","","400170","847","1.313","2","","281","221","0","20.990","47","20","0","13","12","0","","","","","8ba50cc49f5b894df27ae28390f80f17","0.259","Thu, 28 Apr 2022 12:52:36 GMT","","","","1.1","","","","","","","","","","","","14","11416","0.001","9.460","https://www.bettersleep.com/sleep-better/","2022-04-28 09:55:47"
"https://www.bettersleep.com/studentprogram/","text/html","Indexable","200","OK","","BetterSleep | Sleep better. Feel Better.","40","336","Understand and improve your sleep with our sleep tracker, premium sounds and guided content curated just for you. Doesn’t that sound dreamy?","140","893","","0","BetterSleep Premium Student Plan","32","BetterSleep Premium Student Plan","32","Sleep your way to straight A’s","30","","0","INDEX, FOLLOW","","","https://www.bettersleep.com/studentprogram/","","","","","","362120","164","0.385","2","","471","465","0","44.160","33","16","0","13","12","0","","","","","829327b6c94be881da6902f46bcf91f1","0.174","Thu, 28 Apr 2022 12:52:55 GMT","","","","1.1","","","","","","","","","","","","8","2743","0.003","3.700","https://www.bettersleep.com/studentprogram/","2022-04-28 09:55:47"
"https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies","text/html","Non-Indexable","301","Moved Permanently","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","2","","1","1","0","0.090","0","0","0","0","0","0","","","","","","0.146","","https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies/","HTTP Redirect","","1.1","","","","","","","","","","","","10261","305057","0.034","9.520","https://www.bettersleep.com/blog/science-behind-solfeggio-frequencies","2022-04-28 09:55:48"
"https://www.bettersleep.com/info-covid19/","text/html","Indexable","200","OK","","COVID-19: One Year On","21","217","","0","0","","0","COVID-19: One Year On","21","","0","Sleep","5","Anxiety","7","INDEX, FOLLOW","","","https://www.bettersleep.com/info-covid19/","","","","","","334688","725","1.438","2","","473","466","0","44.250","33","17","0","16","15","0","","","","","ac2d9d4a83ed8c56e25f1c109f8fcb32","0.244","Thu, 28 Apr 2022 12:51:00 GMT","","","","1.1","","","","","","","","","","","","1","29","0.035","28.140","https://www.bettersleep.com/info-covid19/","2022-04-28 09:55:47"
"https://www.bettersleep.com/blog/bettersleep-sleep-recorder/","text/html","Non-Indexable","200","OK","Canonicalised","BetterSleep Sleep Recorder | BetterSleep","40","364","With BetterSleep’s new Sleep Recorder, you can understand your sleep habits in ways you never thought possible.","111","713","","0","BetterSleep Sleep Recorder","26","","0","","0","","0","INDEX, FOLLOW","","","https://www.bettersleep.com/blog/","","","","","","485386","767","0.971","2","","8","7","0","0.660","55","33","0","14","12","0","","","","","61fa4c4ed2be2cd55e381b7e2b5987d5","0.166","Thu, 28 Apr 2022 12:37:09 GMT","","","","1.1","","","","","","","","","","","","","","","","https://www.bettersleep.com/blog/bettersleep-sleep-recorder/","2022-04-28 09:55:48"
